"","country","total_cases","total_deaths","total_cases_per_100k","total_deaths_per_100k"
"48","Israel",407719.141,3257.431,4710.49863896433,37.6340543011696
"49","Japan",224480.565,3147.998,177.488023107035,2.48899917801303
"50","Honduras",120029.421,3087.003,1211.85433083268,31.1673415040757
"51","Serbia",328981.858,3072.854,4834.70081104007,45.1585075734107
"52","Moldova",142289.152,2919.005,3527.27955115106,72.3607281474817
"53","Armenia",158067.431,2779.282,5334.28784226963,93.7921878596156
"54","Algeria",98583.134,2736.424,224.813658366119,6.24027118351552
"55","Kazakhstan",198721.576,2718.282,1058.34093273118,14.4768835131741
"56","Myanmar",122530.567,2618.863,225.199468683892,4.81321984053092
"57","Slovenia",116754.422,2598.865,5616.07700492368,125.009620324282
"58","Azerbaijan",215436.002,2533.153,2124.78827912527,24.9838177169247
"59","North Macedonia",82037.857,2456.157,3937.72893087195,117.892895199148
"60","Georgia",222920.149,2412.737,5588.1265925912,60.4821046958331
"61","Dominican Republic",167681.142,2406.279,1545.74692032673,22.1819717431128
"62","Ireland",87554.1360000001,2211.283,1773.14202530846,44.7827937808692
"63","Paraguay",105551.286,2206.01,1479.85758209219,30.9288569413658
"64","Afghanistan",51184.28,2167.566,131.483332413267,5.56809240856167
"65","Costa Rica",165563.001,2130.582,3250.08433262389,41.8243879112246
"66","China",17560.291,2090.168,1.22003758412178,0.145218750482475
"67","Ethiopia",123113.855,1910.44,107.089438052744,1.66177840855917
"68","Slovakia",170116.43,1900.292,3115.88926235653,34.806158571174
"69","Nepal",258873.426,1833.573,888.47558730524,6.29297828368846
"70","Kenya",96044.004,1661.714,178.615737391508,3.09033629464045
"71","Lithuania",134199.575,1653.866,4929.65575686067,60.7527262882624
"72","Oman",128544.574,1494.997,2517.21341426876,29.2756542387512
"73","Sudan",24917.136,1469.863,56.8245185569684,3.35208096627563
"74","Libya",98879.293,1441.008,1439.02143805083,20.9714424677648
"75","Lebanon",173741.57,1414.739,2545.4991779287,20.7274342086564
"76","Belarus",188615.282,1394.849,1996.07233154636,14.7613675098983
"77","Kyrgyzstan",80515.146,1349.009,1234.10160738703,20.6770310679132
"78","Palestine",134291.719,1329.145,2632.44007154092,26.0544327300499
"79","El Salvador",45227.997,1310.146,697.295643474508,20.1989731739735
"80","Nigeria",85040.842,1263.577,41.2540081396399,0.612971539522879
"81","Denmark",156730.717,1206.447,2705.8912990446,20.8288107305631
"82","Albania",56724.288,1159.445,1971.09903398429,40.2892834804365
"83","Venezuela",112564.005,1018.434,395.851141634374,3.58150246679
"84","Kuwait",149862.859,931.006,3509.20613979936,21.8005447993625
"85","Australia",28340.991,908.727000000001,111.14165983755,3.5636519244933
"86","South Korea",57219.29,842.421,111.605620865852,1.64313326389461
"87","Syria",11133.153,686.297,63.6156288303919,3.92154991666884
"88","Montenegro",47047.584,670.156,7490.91395435482,106.702204559422
"89","United Arab Emirates",203347.717,660.133,2056.01105112028,6.67448232629621
"90","Uzbekistan",76816.284,613.013000000001,229.513362420176,1.83157356111211
"91","Yemen",2094.423,608.157999999999,7.02214593672199,2.03902183493257
"92","Democratic Republic of Congo",17028.433,580.431,19.0131376234343,0.648081622302393
"93","Latvia",37432.139,574.022,1984.52440406701,30.4326896058853
"94","Finland",35279.432,540.722999999999,636.730329895873,9.75907815557479
"95","Luxembourg",45769.857,477.148,7311.75907702532,76.2246475903229
"96","Malaysia",107028.856,456.871,330.683008755052,1.41157705070611
"97","Cameroon",26275.866,448.007,98.9828999349955,1.68767157098371
"98","Norway",47769.001,428.176999999999,881.144966411755,7.89813478166077
